aa-lsm-hook                                   - AppArmor system integration
python-wcwidth                                - MMeasures the displayed width of unicode strings in a terminal
python-websockets                             - An implementation of the WebSocket Protocol (RFC 6455 & 7692)
python2-cffi                                  - Foreign Function Interface for Python calling C code
python2-cparser                               - pycparser is a complete parser of the C language
python2-gobject                               - Python2 GObject bindings (legacy)
python2-ordered-set                           - A MutableSet that remembers its order, so that every entry has an index.
python2-xattr                                 - Python wrapper for extended filesystem attributes
python3                                       - Python development environment - 3.11
python3-cairo                                 - Python3 Cairo Bindings
python3-dbus                                  - D-Bus module for Python
python3-pycryptodome                          - Cryptographic library for Python
python3-pyudev                                - pyudev is a LGPL licensed, pure Python binding for libudev
python3-qt5                                   - python3-qt5 are the python3 bindings for Qt5
qadwaitadecorations                           - Qt decoration plugin implementing Adwaita-like client-side decorations
qca-qt6                                       - Cryptographic library with an easy API - Qt6 bindings
qemu                                          - QEMU is a generic and open source machine emulator and virtualizer.
qemu-guest-agent                              - Guest agent for KVM guests
qol-assist                                    - QoL Assistance
qpdf                                          - PDF manipulation library
qrencode                                      - Libqrencode is a C library for encoding data in a QR Code symbol
qt5-base                                      - Cross platform application and UI framework
qt5-connectivity                              - Qt5 Connectivity components
qt5-declarative                               - Qt 5 Declarative Library
qt5-graphicaleffects                          - Qt5 Graphical Effects Module
qt5-location                                  - Qt5 Location and Mapping Components
qt5-multimedia                                - Qt5 Multimedia Components
qt5-networkauth                               - Qt5 NetworkAuth components
qt5-quickcontrols                             - Qt5 Quick Controls Module
qt5-quickcontrols2                            - Qt5 Quick Controls 2 Module
qt5-sensors                                   - Qt5 Sensors Module
qt5-serialport                                - Qt5 Serial Port Module
qt5-speech                                    - Qt Text-To-Speech library
qt5-svg                                       - Qt5 SVG Module
qt5-tools                                     - Qt5 QtTools Module
qt5-wayland                                   - Qt 5 Wayland Library
qt5-webchannel                                - Qt5 Webchannel Module
qt5-webengine                                 - QtWebEngine integrates chromium's fast moving web capabilities into Qt
qt5-webkit                                    - Qt5 support for Webkit
qt5-websockets                                - Qt5 Websockets Module
qt5-x11extras                                 - Qt5 X11 Extra Components
qt5-xmlpatterns                               - Qt5 XML Patterns
qt6-5compat                                   - Qt 5 compatibility library for Qt 6
qt6-base                                      - Cross platform application and UI framework
qt6-declarative                               - Classes for QML and JavaScript languages
qt6-multimedia                                - Qt6 Multimedia Components
qt6-quick3d                                   - Qt6 Quick 3D module
qt6-quicktimeline                             - Enables keyframe-based animations and parameterization for Qt6
qt6-shadertools                               - Qt Shader Tools module
qt6-speech                                    - Qt6 Speech Components
qt6-svg                                       - Qt6 SVG Module
qt6-wayland                                   - Qt6 Wayland Library
qtstyleplugins                                - Provides GTK2 style integration for Qt applications
quazip-qt5                                    - Qt/C++ wrapper over minizip - Qt5 bindings
raqm                                          - A library for complex text layout
rav1e                                         - The fastest and safest AV1 encoder
rclone                                        - Sync files to and from Google Drive, S3, Swift, Cloudfiles, etc.
rclone-browser                                - Simple GUI for rclone
rcm                                           - RC (dot-file) management
readline                                      - Another cute console display library
reiserfsprogs                                 - The tools to maintain a ReiserFS (Reiser v3) filesystem
rhythmbox                                     - Music playing application
rhythmbox-alternative-toolbar                 - Enhanced play controls and interface for Rhythmbox
ripgrep                                       - ripgrep combines the usability of The Silver Searcher with the raw speed of grep
ripgrep-all                                   - ripgrep-all (rga) allows you to search PDFs, e-books, Office documents, archive formats and more
rnnoise                                       - Recurrent neural network for audio noise reduction
rocm-clr                                      - AMD Common Language Runtime for HIP and OpenCL
rocm-compilersupport                          - The AMD Code Object Manager (Comgr)
rocm-compilersupport-devel                    - Development files for rocm-compilersupport
rocm-device-libs                              - ROCm Device Libraries
rocm-device-libs-devel                        - Development files for rocm-device-libs
rocm-hip                                      - AMD Common Language Runtime for HIP and OpenCL
rocm-info                                     - ROCm Application for Reporting System Info
rocm-llvm                                     - ROCm's patched LLVM
rocm-runtime                                  - ROCm Runtime Library
rocm-runtime-devel                            - Development files for rocm-runtime
rocm-smi                                      - ROCm System Management Interface Library
rocm-smi-devel                                - Development files for rocm-smi
rsync                                         - rsync (remote file sync)
rtkit                                         - Realtime Policy and Watchdog Daemon
rtl8852bu                                     - Realtek RTL8832BU/RTL8852BU Driver
rtl8852bu-common                              - Common components for rtl8852bu drivers
rtmpdump                                      - RTMP Dump
rubberband                                    - A high quality software library for audio time-stretching and pitch-shifting.
rust                                          - A fast and secure system programming language
rygel                                         - Rygel uPnP Media Server
samba                                         - Provides file and print services to SMB/CIFS clients and Windows networking to Linux clients
sane-backends                                 - Scanner Access Now Easy
sassc                                         - Wrapper around libsass to compile CSS stylesheet
sbc                                           - Bluetooth Subband Codec Library
scour                                         - Python tool for SVG optimization.
screen                                        - Full-screen window manager that multiplexes a physical terminal
scribus                                       - Desktop publishing software
scribus-docs                                  - Documentation for scribus
sdl1                                          - Simple DirectMedia Layer 1.x
sdl1-image                                    - SDL_image is an image file loading library.
sdl2                                          - Simple DirectMedia Layer
sdl2-image                                    - SDL_image is an image file loading library.
sdl2-ttf                                      - A sample library which allows you to use TrueType fonts in SDL applications.
seahorse                                      - GNOME encryption key and password manager
sed                                           - sed (Stream Editor)
serd                                          - Lightweight RDF parsing library
setxkbmap                                     - X11 client to change the keymaps in the X server for a specified keyboard
sg3_utils                                     - Generic SCSI utilities
shaderc                                       - A collection of tools, libraries, and tests for Vulkan shader compilation
shadow                                        - login and password tools
shared-mime-info                              - Shared Mime Info Database
sharutils                                     - Creates "shell archives" (or shar files) which are in text format and can be mailed.
shim-signed                                   - Initial UEFI bootloader that handles chaining to a trusted full bootloader under secure boot environments. This package contains the version signed by the UEFI signing service.
shotwell                                      - A digital photo organizer designed for the GNOME desktop environment
simplescreenrecorder                          - A screen recorder for Linux
slang                                         - Programmers library allowing interactive applications
smartmontools                                 - Check S.M.A.R.T information on hard and solid-state disks
snapd                                         - The snapd and snap tools enable systems to work with .snap files
snappy                                        - Snappy is a compression/decompression library.
socat                                         - Bidirectional data transfer relay
sof-firmware                                  - Sound Open Firmware
solid                                         - Desktop hardware abstraction.
solus-artwork                                 - Official Solus artwork
solus-hardware-config                         - Solus Hardware configuration support
solus-sc                                      - Solus Software Center
solus-sc-icons                                - Icons required for the Solus Software Center
sonnet                                        - Multi-language spell checker
sord                                          - Lightweight library for storing RDF data in memory
sound-theme-freedesktop                       - Freedesktop reference sound theme
soundtouch                                    - Audio processing library.
speech-dispatcher                             - Common high-level interface to speech synthesis
spice                                         - SPICE (Simple Protocol for Independent Computing Environments)
spice-gtk                                     - Gtk client and libraries for SPICE remote desktop servers (gtk3 version)
spice-vdagent                                 - Spice agent for Linux guests
spirv-tools                                   - The SPIR-V Tools project provides an API and commands for processing SPIR-V modules
sqlcipher                                     - SQLCipher is an SQLite extension that provides transparent 256-bit AES encryption of database files.
sqlite3                                       - Self contained SQL package
squashfs-tools                                - Set of tools which creates squashfs filesystem
sratom                                        - A library for serialising LV2 atoms to or from RDF
srt                                           - Secure, Reliable, Transport
sshpass                                       - SSHPass is a tiny utility, which allows you to provide the ssh password without using the prompt.
stoken                                        - stoken is a tokencode generator compatible with RSA SecurID 128-bit (AES) tokens
sublime-text                                  - Sublime Text is a sophisticated text editor for code, markup and prose.
sudo                                          - Run commands as a privileged user
suitesparse                                   - A suite of Sparse matrix packages
svt-av1                                       - Scalable Video Technology for AV1 (SVT-AV1 Encoder)
switcheroo-control                            - D-Bus service to check the availability of dual-GPU
swtpm                                         - TPM Emulator
syncthing                                     - Syncthing is an open-source file synchronization client/server application
syncthing-gtk                                 - GTK3 & Python based GUI and notification area icon for Syncthing
syndication                                   - An RSS/Atom parser library
system-config-printer                         - Graphical user interface for CUPS administration
systemd                                       - System and Service Manager
systemd-devel                                 - Development files for systemd
t1utils                                       - Utilities for manupulating Adobe Type 1 font software
taglib                                        - Library to read metadata from a variety of multimedia formats
talloc                                        - Talloc is a hierarchical, reference counted memory pool system with destructors
tar                                           - tar (Create and extract archives)
tcl                                           - tcl (Tool Command Language)
tdb                                           - Transactional database
teamviewer                                    - TeamViewer
teckit                                        - A Text Encoding Conversion toolkit
tecla                                         - Keyboard layout viewer
telepathy-logger                              - Telepathy logging service
terminator                                    - Store and run multiple GNOME terminals in one window
tevent                                        - Tevent is an event system based on the talloc memory management library
texlive                                       - TeX Live (TeX document production system)
texlive-synctex                               - TeX Live (TeX document production system)
thefuck                                       - Magnificent app which corrects your previous console command
thermald                                      - Thermal daemon for IA
threadweaver                                  - Helper for multithreaded programming
thunar                                        - Modern, fast and easy-to-use file manager for Xfce.
thunar-archive-plugin                         - Adds archive operations to the Thunar file context menus.
thunar-docs                                   - Documentation for thunar
thunar-shares-plugin                          - Thunar plugin to quickly share a folder using Samba without requiring root access.
thunar-volman                                 - Automatic management of removable drives and media for Thunar.
time                                          - time (Measure CPU/Memory resource other programs use)
tinyxml2                                      - TinyXML-2 is a simple, small, efficient, C++ XML parser that can be easily integrated into other programs
tk                                            - Tk (GUI toolkit standard for Tcl)
tlp                                           - Linux Advanced Power Management
totem-pl-parser                               - Totem playlist parser
tpm2-tss                                      - OSS implementation of the TCG TPM2 Software Stack (TSS2)
tracker                                       - Semantic data storage
tracker-miners                                - Collection of data extractors for Tracker
tree                                          - list contents of directories in a tree-like format.
tslib                                         - C library for filtering touchscreen events
tumbler                                       - D-Bus service for applications to request thumbnails
twolame                                       - TwoLAME is an optimized MPEG Audio Layer 2 (MP2) encoder.
tzdata                                        - Timezone data files
uchardet                                      - An encoding detector library, which takes a sequence of bytes in an unknown character encoding without any additional information, and attempts to determine the encoding of the text
udftools                                      - Linux UDF Filesystem userspace utilities
udisks                                        - Daemon, tools and libraries to access disks and storage devices
ufw                                           - Uncomplicated Firewall
uget                                          - url-get download manager
unicode-character-database                    - The Unicode Character Database (UCD)
unixodbc                                      - ODBC is an open specification for providing application developers with a predictable API with which to access Data Sources
unrar                                         - RAR decompression program
unzip                                         - Info-ZIP unzip program
upower                                        - UPower is an abstraction for enumerating power devices, listening to device events and querying history and statistics.
usb-modeswitch                                - Switch between USB modes
usbmuxd                                       - A socket daemon to multiplex connections from and to iOS devices.
usbredir                                      - USB redirection protocol
usbutils                                      - usbutils (USB Utilities)
usysconf                                      - System configuration component
usysconf-epoch                                - Temporary package for hosting the epoch script
util-linux                                    - util-linux (Essential Linux utilties)
util-linux-devel                              - Development files for util-linux
v4l-utils                                     - Linux V4L2 and DVB API utilities and v4l libraries
vamp-plugin-sdk                               - The Vamp audio analysis plug-in system
vapoursynth                                   - A video processing framework with simplicity in mind
variety                                       - Variety changes the wallpaper on a regular interval using user-specified or automatically downloaded images
vid.stab                                      - Video stabilization library
virglrenderer                                 - Allows KVM guests to render OpenGL 3D calls on the host GPU via mesa
virt-manager                                  - Manage virtual machines with virt-manager
virtiofsd                                     - Vhost-user virtio-fs device backend
virtualbox                                    - VirtualBox host modules for the linux-lts kernel
virtualbox-common                             - Common components for VirtualBox host packages
virtualbox-current                            - VirtualBox host modules for the linux-current kernel
vlc                                           - Open source multimedia player
vlc-core                                      - Core VLC components and media support
vo-aacenc                                     - Audio codecs extracted from Android Open Source Project
volume_key                                    - An utility for manipulating storage encryption keys and passphrases
vpnc                                          - client for cisco vpn concentrator
vulkan                                        - Vulkan ICD desktop loader (vulkan-loader)
wavpack                                       - WavPack audio compression tools
wayland                                       - Wayland is intended as a simpler replacement for X, easier to develop and maintain.
wayland-devel                                 - Development files for wayland
webp-pixbuf-loader                            - WebP GDK Pixbuf Loader library
webrtc-audio-processing                       - AudioProcessing module from the WebRTC project
wget                                          - retrieves files from the web
which                                         - Find program in path
wireless-regdb                                - This package contains the wireless regulatory database used by all cfg80211 based Linux wireless drivers.
wireless-tools                                - Tools to configure wireless lan cards
wireplumber                                   - Session / policy manager implementation for PipeWire
woff-tools                                    - Convert/Unconvert TrueType/OpenType fonts to WOFF format
woff2                                         - Woff utilities for compression and decompression
wpa_supplicant                                - WiFi authentication client and server
wsdd                                          - A Web Service Discovery host daemon for Samba
x264                                          - A library for encoding video streams into the H.264/MPEG-4 AVC format.
x264-devel                                    - Development files for x264
x265                                          - x265 is an open source HEVC encoder
xauth                                         - X.Org Applications - xauth
xcb-util                                      - Additional extensions to the XCB library
xcb-util-cursor                               - XCB util-cursor module provides a port of libxcursor.
xcb-util-image                                - xcb-util extension - image
xcb-util-keysyms                              - Utility libraries for XC Binding - Standard X key constants and conversion to/from keycodes
xcb-util-renderutil                           - xcb-util extensions - render
xcb-util-wm                                   - libraries which provide client and window-manager helpers for EWMH and ICCCM.
xclip                                         - xclip is a command line interface to the X11 clipboard.
xdg-dbus-proxy                                - Filtering proxy for D-Bus connections.
xdg-desktop-portal                            - Desktop integration portal
xdg-desktop-portal-gnome                      - A backend implementation for xdg-desktop-portal for the GNOME desktop environment.
xdg-desktop-portal-gtk                        - GTK+ backend for XDG Portal
xdg-user-dirs                                 - Tool to manage well known user directories
xdg-user-dirs-gtk                             - Creates user dirs and asks to relocalize them
xdg-utils                                     - Tools to assist with desktop integration tasks
xdpyinfo                                      - Display information utility for X
xfconf                                        - Xfce configuration storage system
xfsdump                                       - xfsdump backs up files and their attributes in a filesystem. The files are dumped to storage media, a regular file, or standard output.
xfsprogs                                      - XFS User Tools
xhost                                         - X.Org Applications - xhost
xinit                                         - The xinit package contains a usable script to start the xserver.
xkbcomp                                       - X.Org Applications - xkbcomp
xkeyboard-config                              - Keyboard configuration database
xmlsec1                                       - Library providing support for "XML Signature" and "XML Encryption" standards
xmodmap                                       - Edit and display the keyboard modifier map and keymap table
xorg-driver-input-libinput                    - X11 libinput based input driver
xorg-driver-input-wacom                       - Input driver for Wacom/Wacom-like tablets
xorg-driver-video-amdgpu                      - Support for AMDGPU devices
xorg-driver-video-fbdev                       - Framebuffer Video Driver
xorg-driver-video-intel                       - Intel Video Driver
xorg-driver-video-nouveau                     - Alternative video driver for NVIDIA graphics cards
xorg-driver-video-qxl                         - QXL Virtual GPU for Spice Virtualisation
xorg-driver-video-radeon                      - Open source Radeon Video Driver
xorg-driver-video-vesa                        - Generic VESA video driver
xorg-driver-video-vmware                      - VMWare Video Driver
xorg-server                                   - The Xorg Server is the core of the X Window system
xorg-server-xvfb                              - The Xorg Server is the core of the X Window system
xorg-xwayland                                 - X server intended for Xorg only clients to run under Wayland for backwards compatability.
xorgproto                                     - X Window System Core Protocol
xprop                                         - Displays window and font properties of an X server
xrandr                                        - Command line interface to X11 Resize, Rotate, and Reflect (RandR) extension
xset                                          - X.Org Applications - xset
xvidcore                                      - Xvid MPEG-4 video codec
xxhash                                        - Extremely fast hash algorithm
xz                                            - xz (Data compression software)
xz-devel                                      - Development files for xz
yajl                                          - A fast streaming JSON parsing library in C.
yaml                                          - LibYAML
yaml-cpp                                      - yaml-cpp is a YAML parser and emitter in C++ matching the YAML 1.2 spec
yelp                                          - GNOME Help Browser
yelp-xsl                                      - Yelp XSL Stylesheets
yt-dlp                                        - yt-dlp is a small command-line program for downloading videos from YouTube and other platforms
zam-plugins                                   - Collection of LADSPA/LV2/VST/JACK audio plugins for high-quality processing
zbar                                          - ZBar is an open source software suite for reading bar codes from various sources, such as video streams, image files and raw intensity sensors
zed                                           - Code at the speed of thought
zenity                                        - A tool that allows you to display GTK dialog boxes in commandline and shell scripts
zimg                                          - Project zimg is a light image storage and processing system.
zip                                           - Archiver for .zip files
zita-convolver                                - A fast, partitioned convolution engine library
zix                                           - Zix is a lightweight C library of portability wrappers and data structures.
zlib                                          - zlib (Compression library)
zlib-devel                                    - Development files for zlib
zram-generator                                - Systemd unit generator for zram devices
zram-generator-defaults                       - Default configuration files for zram-generator
zsh                                           - The Z Shell
zsh-autosuggestions                           - Fish-like autosuggestions for zsh
zsh-dbginfo                                   - Debug symbols for zsh
zsh-syntax-highlighting                       - Fish shell like syntax highlighting for ZSH
zstd                                          - Zstd command line tools
zstd-devel                                    - Development files for zstd
zxing-cpp                                     - ZXing-C++ ("zebra crossing") is an open-source, multi-format linear/matrix barcode image processing library implemented in C++
zziplib                                       - Lightweight library for extracting data zip files
